"Year","Date","Gasoline","Electricity","Gas","Total"
1981,1981-01-01,5.85290322580645,2.19354838709677,1.0941935483871,9.14064516129032
1982,1982-01-01,5.22686725493032,2.26626163267274,1.24403298133951,8.73716186894257
1983,1983-01-01,4.65777389022523,2.25672425103871,1.28143450688826,8.1959326481522
1984,1984-01-01,4.33111840525178,2.21359378752702,1.18485309422784,7.72956528700665
1985,1985-01-01,4.05847137033092,2.17798508833144,1.09450178132001,7.33095823998237
1986,1986-01-01,3.14656362130831,2.09080872205355,0.924648081700248,6.1620204250621
1987,1987-01-01,3.11762232786779,2.04715242068497,0.831150350894214,5.99592509944698
1988,1988-01-01,2.98485165376916,1.9958767814993,0.818668021153904,5.79939645642236
1989,1989-01-01,3.07281229124916,1.93999109329771,0.81273658427967,5.82553996882654
1990,1990-01-01,3.2465495608532,1.87682977833542,0.705771643663739,5.82915098285236
1991,1991-01-01,3.05792636735518,1.93424574516439,0.714610373213474,5.70678248573304
1992,1992-01-01,2.96510662523424,1.82176151054392,0.702137248855469,5.48900538463363
1993,1993-01-01,2.83829121002013,1.84969805412659,0.722433460076046,5.41042272422277
1994,1994-01-01,2.72516346762286,1.78232440413415,0.687618645855305,5.19510651761232
1995,1995-01-01,2.67645760603507,1.75755387022993,0.615946390594278,5.04995786685928
1996,1996-01-01,2.74672082914144,1.71788690419696,0.654885062925913,5.11949279626431
1997,1997-01-01,2.65614041397666,1.6310896110202,0.645602172388368,4.93283219738522
1998,1998-01-01,2.24292732508894,1.58224631543283,0.537015077079451,4.36218871760122
1999,1999-01-01,2.32281591882036,1.4840653242429,0.51054384017758,4.31742508324084
2000,2000-01-01,2.71627112655321,1.44867793416171,0.578587833460927,4.74353689417584
2001,2001-01-01,2.50594810716448,1.45570243977981,0.650420239050555,4.61207078599485
2002,2002-01-01,2.27380452594087,1.45041372679135,0.521390555382511,4.24560880811473
2003,2003-01-01,2.52913527783143,1.43583800141652,0.629708325284914,4.59468160453287
2004,2004-01-01,2.81719128329298,1.40193704600484,0.63317191283293,4.85230024213075
2005,2005-01-01,3.22716366654916,1.46120694556578,0.697058254966398,5.38542886708134
2006,2006-01-01,3.43615649183147,1.51225279449699,0.645958727429063,5.59436801375752
2007,2007-01-01,3.54340803035742,1.52094764371058,0.634839239013384,5.69919491308138
2008,2008-01-01,3.88571542701925,1.55188943037469,0.680075097866901,6.11767995526085
2009,2009-01-01,2.88920483395958,1.59439423174571,0.590027419518635,5.07362648522393
2010,2010-01-01,3.26792260492835,1.6349414832095,0.535178686949873,5.43804277508773
2011,2011-01-01,3.83186925243,1.55950342866231,0.487403291141609,5.87877597223392
2012,2012-01-01,3.77264582918575,1.4777478145983,0.40088320996145,5.6512768537455
2013,2013-01-01,3.62813787275992,1.48839911276978,0.445375488504735,5.56191247403443
2014,2014-01-01,3.36244247011818,1.48524031896421,0.471197127299088,5.31887991638148
2015,2015-01-01,2.47238209985591,1.44419026840447,0.390761741169192,4.30733410942957
