"Country","Year","Oil","OilPCT","Coal","CoalPCT","Gas","GasPCT","Nuclear","NuclearPCT","Hydro","HydroPCT","Renewables","RenewablesPCT","Total","TotalPCT"
"Colombia",1973,6.024,54.1833196756168,1.845686,16.6011611153404,1.496,13.4558841691107,0,0,1.75212670705509,15.7596350399322,0,0,11.1178127070551,100
"Colombia",1974,6.675,53.7683829821449,2.231933,17.9786409489869,1.518,12.2277760849282,0,0,1.98942582908474,16.02519998394,0,0,12.4143588290847,100
"Colombia",1975,6.716,52.9210277498308,2.268664905,17.8767240012764,1.461,11.5124510932851,0,0,2.20217676607683,17.3528078837976,0.0427659863329862,0.336989271810132,12.6906076574098,100
"Colombia",1976,7.087,53.6910907372335,2.21889148,16.8103151952525,1.534,11.6215793976176,0,0,2.3139837987057,17.5307343164662,0.0457075621125038,0.346280353430249,13.1995828408182,100
"Colombia",1977,7.096,52.3646824500356,2.274688975,16.7859872954442,1.772,13.0764116828443,0,0,2.36498438702085,17.4523191129705,0.0434448115128749,0.320599458705376,13.5511181735337,100
"Colombia",1978,7.224,49.6249199885773,2.29912384,15.7937204601094,2.256,15.4974833186919,0,0,2.73146580983843,18.763672794126,0.0466126623523553,0.320203438495321,14.5572023121908,100
"Colombia",1979,7.673,49.140856956565,2.319174,14.8528864578893,2.573,16.4784862438735,0,0,3.00024890256595,19.2147533109715,0.0488754129519842,0.313017030700703,15.6142983155179,100
"Colombia",1980,7.28651939378584,45.858493986022,2.43225385,15.3076513661417,2.85,17.9367817193521,0,0,3.26900031678507,20.5738053061989,0.051364438611576,0.323267622285229,15.8891379991825,100
"Colombia",1981,7.46840563662441,45.8822198183543,2.47807495,15.2240766121064,3.055,18.768421047953,0,0,3.22789066389101,19.8305764571728,0.0479703127121327,0.294706064413512,16.2773415632276,100
"Colombia",1982,7.65520738041813,45.1452916175737,2.58024585,15.216563778697,3.221,18.9953030759387,0,0,3.44810064714666,20.3345907571844,0.0522695388514276,0.308250770606153,16.9568234164162,100
"Colombia",1983,7.92486890820319,44.6330504979461,2.84389755,16.0168987563625,3.457,19.4699063616919,0,0,3.47689188577634,19.5819379363008,0.0529483640313163,0.298206447698729,17.7556067080108,100
"Colombia",1984,7.8753592986445,43.1166458646135,2.9607773,16.2098999533976,3.493,19.1237552845389,0,0,3.87840430827713,21.2337975625517,0.057700140290537,0.315901334898308,18.2652410472122,100
"Colombia",1985,8.17549406792179,42.8477980558144,3.0537169,16.0045428403189,3.618,18.9619528896978,0,0,4.17268679006198,21.8690686391983,0.0604154410100916,0.316637574970611,19.0803131989939,100
"Colombia",1986,8.0851157803755,41.0500275297207,3.0153422,15.3095989821162,3.708,18.8263849541478,0,0,4.82711499298545,24.5083940334095,0.0601891659501287,0.305594500605774,19.6957621393111,100
"Colombia",1987,8.50543256972642,39.7694622943234,3.79142595,17.7278427786177,3.769,17.622984152601,0,0,5.26034303299088,24.5961639447183,0.0606417160700545,0.283546829739745,21.3868432687874,100
"Colombia",1988,8.95795032714165,41.7414699699975,3.0244747,14.0931815040942,3.868,18.023766592538,0,0,5.54812870525409,25.8526827323836,0.0619993664298319,0.288899200986692,21.4605530988256,100
"Colombia",1989,9.18922585718412,41.0498812362335,3.5041604,15.6536981992073,3.57,15.9478152230617,0,0,6.06012580893332,27.0716433135507,0.0619993664298319,0.276962027946738,22.3855114325473,100
